Conc	low_FBS_CP1	high_FBS_CP1	low_FBS_CP124	high_FBS_CP124
0	1	1	1	1
0.078125	1.064482579	1.008143717	0.460513566	0.548905514
0.15625	1.128185127	1.00383234	0.436531008	0.534220006
0.3125	1.126885075	0.959281442	0.441618217	0.536159601
0.625	1.091523661	0.992574855	0.442587209	0.527847049
1.25	1.05174207	0.987784436	0.436046512	0.519811582
2.5	0.873894956	0.952574855	0.468023256	0.53006373
5	0.774310972	0.862754495	0.510658915	0.541701302
10	0.631305252	0.658203596	0.484011628	0.524799113
20	0.469058762	0.487425152	0.258963178	0.53228041
