Conc	low_FBS_CP1	high_FBS_CP1	low_FBS_CP124	high_FBS_CP124
0	1	1	1	1
0.078125	1.013477801	1.062847121	0.484194295	0.593576642
0.15625	1.005813953	1.026600409	0.435877666	0.519416058
0.3125	0.950052854	0.99736919	0.381649961	0.497226277
0.625	0.867864693	1.003507746	0.375481881	0.492846715
1.25	0.836152219	0.946799181	0.397584169	0.468905109
2.5	0.688689217	0.914644841	0.377537908	0.497226277
5	0.529334038	0.793335282	0.365458751	0.464233577
10	0.437103594	0.571762642	0.355435621	0.446131387
20	0.31051797	0.484068986	0.290156772	0.44350365
